teaching_point_ar,teaching_point_en,bloom_level
يشرح تحديات التعلم في ظل معدل النمو الهائل للتقدم البشري ( مسالة فجوة التعلم),Explain the challenge of Human Progress Exponential growth (Learning GAP issue),UNDERSTAND
يشرح مفهوم العقل الضيق,"Explain the concept of ""narrow mind""",UNDERSTAND
يشرح الاختلافات في المفاهيم بين القيادة العسكرية والإدارة والقيادة,"Explain the difference between Command, Management and Leadership",UNDERSTAND
يبين مسئوليات القائد تجاه المرؤوسين,State the leader’s responsibilities for subordinates,REMEMBER
يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,"Explain the concept of Leadership as a ""force"" to maximize the collective action of the organization.",UNDERSTAND
يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,"State the meaning of ""PEA"" and ""NEA""",REMEMBER
يصنف أنواع المشاعر,Classify Emotion Types,UNDERSTAND
يشرح وظيفة الجهاز العصبي اللاإرادي,Explain the function of the Autonomic Nervous System,UNDERSTAND
يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,Explain the role/function of Default Mode and Tasks Positive Brain networks,UNDERSTAND
يشرح دورة نظرية التغيير المقصود,Explain the Intentional Change Theory cycle,UNDERSTAND
يؤدي اكتشاف الذات المثالية,"Conduct ""IDEAL SELF"" discovery",ANALYSE
يؤدي اكتشاف الذات الحقيقة,"Conduct ""REAL SELF"" discovery",ANALYSE
يؤدي تحليل الفجوات ونقاط القوة,Conduct GAPs and STRENGHTs analysis,ANALYSE
يصيغ أجندة التعلم الذاتي,"Formulate ""SELF LEARNING AGENDA""",CREATE
يبين التغييرات السلوكية المرغوبة,Show desired behavioural changes,CREATE
يبين علاقات الفريق الإيجابية,Show positive team relationships,CREATE
يطبق الثقة بالنفس,Apply Self Confidence,APPLY
يطبق مهارات الاستخدام الفعال لمساعدات تقديم العروض,Apply effective use of presentation aids,APPLY
يطبق ادارة الوقت,Apply Time Management,APPLY
يطبق مهارات التواصل الفعال من خلال الصوت (نبرة الصوت ونغمته وسرعته وإيقاعه),"Apply effective para verbal communication (voice tone, pitch, speed and cadence(",APPLY
يطبق مهارات لغة الجسد بفاعلية (وضع الوقوف و التحركات وفواصل الاقتراب بين الاشخاص في العمل),"Apply effective body language (position, proxemic and movements)",APPLY
يطبق مهارات الترتيب المعرفي الفعال للمحتوى,Apply effective cognitive organization of the contents,APPLY
يطبق مهارات الاجابة البناءة على أسئلة وتعليقات الحضور,Apply constructive answers to audience comments/remarks,APPLY
يقيم المرونة الذاتية,"Assess own ""resilience""",EVALUATE
يقيم التوقعات,"Assess own ""outlook""",EVALUATE
يقيم الوعي الذاتي,"Assess own ""self-awareness""",EVALUATE
يقيم الحساسية تجاه السياق,"Assess own ""sensitivity to context""",EVALUATE
يقيم الحدس الاجتماعي,"Assess own ""social intuition""",EVALUATE
يقيم تركيز الانتباه,"Assess own ""attention""",EVALUATE
يدير ملف تعريف الأنماط العاطفية الخاصة بعمليات الفريق,Manage own emotional styles profile within team relational processes,CREATE